"";"amostra";"spp";"data";"site";"latitude";"longitude";"tamanho_petala";"largura_petala";"tamanho_sepala";"largura_sepala"
"4";"A29";"Iris_setosa";1930-02-13;"Site2";"48540502";"-64766512";"1.4";"0.2";"5.1";"3.4"
"5";"A35";"Iris_setosa";1930-02-13;"Site2";"48540502";"-64766512";"1.5";"0.2";"4.9";"3.1"
"6";"A5";"Iris_setosa";1930-02-13;"Site2";"48540502";"-64766512";"1.4";"0.2";"5";"3.6"
"7";"A14";"Iris_setosa";1930-02-13;"Site2";"48540502";"-64766512";"1.1";"0.1";"4.3";"3"
"8";"A37";"Iris_setosa";1929-12-01;"Site3";"48329837";"-65512333";"1.3";"0.2";"5.5";"3.5"
"9";"A10";"Iris_setosa";1929-12-01;"Site3";"48329837";"-65512333";"1.5";"0.1";"4.9";"3.1"
"26";"A18";"Iris_setosa";1929-12-01;"Site1";"48935966";"-64840984";"5.1";"3.5";"1.4";"0.3"
"27";"A45";"Iris_setosa";1929-12-01;"Site1";"48935966";"-64840984";"5.1";"3.8";"1.9";"0.4"
"42";"A27";"Iris_setosa";1929-12-01;"Site1";"48935966";"-64840984";"5";"3.4";"1.6";"0.4"
"43";"A40";"Iris_setosa";1929-12-01;"Site3";"48329837";"-65512333";"5.1";"3.4";"1.5";"0.2"
"44";"A43";"Iris_setosa";1929-12-01;"Site3";"48329837";"-65512333";"4.4";"3.2";"1.3";"0.2"
"45";"A46";"Iris_setosa";1929-12-01;"Site3";"48329837";"-65512333";"4.8";"3";"1.4";"0.3"
"54";"A13";"Iris_setosa";1929-12-01;"Site3";"48329837";"-65512333";"4.8";"3";"1.4";"0.1"
"60";"A16";"Iris_setosa";1929-12-01;"Site3";"48329837";"-65512333";"5.7";"4.4";"1.5";"0.4"
"61";"A28";"Iris_setosa";1929-12-01;"Site3";"48329837";"-65512333";"5.2";"3.5";"1.5";"0.2"
"62";"A4";"Iris_setosa";1929-12-01;"Site3";"48329837";"-65512333";"4.6";"3.1";"1.5";"0.2"
"63";"A48";"Iris_setosa";1929-12-01;"Site1";"48935966";"-64840984";"4.6";"3.2";"1.4";"0.2"
"104";"A42";"Iris_setosa";1929-12-01;"Site1";"48935966";"-64840984";"4.5";"2.3";"1.3";"0.3"
"110";"A30";"Iris_setosa";1929-12-01;"Site1";"48935966";"-64840984";"4.7";"3.2";"1.6";"0.2"
"119";"A39";"Iris_setosa";1929-12-01;"Site1";"48935966";"-64840984";"4.4";"3";"1.3";"0.2"
"120";"A36";"Iris_setosa";1929-12-01;"Site1";"48935966";"-64840984";"5";"3.2";"1.2";"0.2"
"125";"A49";"Iris_setosa";1929-12-01;"Site3";"48329837";"-65512333";"5.3";"3.7";"1.5";"0.2"
"76";"A100";"Iris_versicolor";1929-12-01;"Site3";"48329837";"-65512333";"5.7";"2.8";"4.1";"1.3"
"88";"A54";"Iris_versicolor";1929-12-01;"Site1";"48935966";"-64840984";"5.5";"2.3";"4";"1.3"
"89";"A58";"Iris_versicolor";1929-12-01;"Site3";"48329837";"-65512333";"4.9";"2.4";"3.3";"1"
"90";"A62";"Iris_versicolor";1930-02-13;"Site2";"48540502";"-64766512";"5.9";"3";"4.2";"1.5"
"91";"A70";"Iris_versicolor";1929-12-01;"Site3";"48329837";"-65512333";"5.6";"2.5";"3.9";"1.1"
"92";"A71";"Iris_versicolor";1930-02-13;"Site2";"48540502";"-64766512";"5.9";"3.2";"4.8";"1.8"
"93";"A76";"Iris_versicolor";1929-12-01;"Site3";"48329837";"-65512333";"6.6";"3";"4.4";"1.4"
"94";"A79";"Iris_versicolor";1929-12-01;"Site3";"49329837";"-65512333";"6";"2.9";"4.5";"1.5"
"95";"A81";"Iris_versicolor";1929-12-01;"Site1";"48935966";"-64840984";"5.5";"2.4";"3.8";"1.1"
"96";"A82";"Iris_versicolor";1929-12-01;"Site3";"48329837";"-65512333";"5.5";"2.4";"3.7";"1"
"97";"A87";"Iris_versicolor";1929-12-01;"Site1";"48935966";"-64840984";"6.7";"3.1";"4.7";"1.5"
"98";"A88";"Iris_versicolor";1929-12-01;"Site3";"48329837";"-65512333";"6.3";"2.3";"4.4";"1.3"
"99";"A93";"Iris_versicolor";1929-12-01;"Site1";"48935966";"-64840984";"5.8";"2.6";"4";"1.2"
"100";"A95";"Iris_versicolor";1930-02-13;"Site2";"48540502";"-64788512";"5.6";"2.7";"4.2";"1.3"
"10";"A63";"Iris_versicolor";1929-12-01;"Site1";"48935966";"-64840984";"4";"1";"6";"2.2"
"11";"A72";"Iris_versicolor";1929-12-01;"Site1";"48935966";"-64840984";"4";"1.3";"6.1";"2.8"
"12";"A90";"Iris_versicolor";1929-12-01;"Site1";"48935966";"-64840984";"4";"1.3";"5.5";"2.5"
"13";"A52";"Iris_versicolor";1929-12-01;"Site3";"48329837";"-65512333";"4.5";"1.5";"6.4";"3.2"
"14";"A67";"Iris_versicolor";1929-12-01;"Site3";"48329837";"-65512333";"4.5";"1.5";"5.6";"3"
"46";"A60";"Iris_versicolor";1929-12-01;"Site1";"48935966";"-64840984";"5.2";"2.7";"3.9";"1.4"
"47";"A56";"Iris_versicolor";1930-02-13;"Site2";"48540502";"-64766512";"5.7";"2.8";"4.5";"1.3"
"48";"A80";"Iris_versicolor";1930-02-13;"Site2";"48540502";"-64766512";"5.7";"2.6";"3.5";"1"
"49";"A92";"Iris_versicolor";1930-02-13;"Site2";"48540502";"-64766512";"6.1";"3";"4.6";"1.4"
"50";"A85";"Iris_versicolor";1929-12-01;"Site3";"48329837";"-65512333";"5.4";"3";"4.5";"1.5"
"64";"A51";"Iris_versicolor";1929-12-01;"Site1";"48935966";"-64840984";"7";"3.2";"4.7";"1.4"
"65";"A59";"Iris_versicolor";1930-02-13;"Site2";"48540502";"-64766512";"6.6";"2.9";"4.6";"1.3"
"66";"A61";"Iris_versicolor";1929-12-01;"Site3";"48329837";"-65512333";"5";"2";"3.5";"1"
"67";"A65";"Iris_versicolor";1930-02-13;"Site2";"48540502";"-64766512";"5.6";"2.9";"3.6";"1.3"
"68";"A68";"Iris_versicolor";1930-02-13;"Site2";"48540502";"-64766512";"5.8";"2.7";"4.1";"1"
"69";"A73";"Iris_versicolor";1929-12-01;"Site3";"48329837";"-65512333";"6.3";"2.5";"4.9";"1.5"
"70";"A77";"Iris_versicolor";1930-02-13;"Site2";"48540502";"-64766512";"6.8";"2.8";"4.8";"1.4"
"71";"A78";"Iris_versicolor";1929-12-01;"Site1";"48935966";"-64840984";"6.7";"3";"5";"1.7"
"72";"A83";"Iris_versicolor";1930-02-13;"Site2";"48540502";"-64766512";"5.8";"2.7";"3.9";"1.2"
"73";"A89";"Iris_versicolor";1930-02-13;"Site2";"48540502";"-64766512";"5.6";"3";"4.1";"1.3"
"74";"A97";"Iris_versicolor";1929-12-01;"Site3";"48329837";"-65512333";"5.7";"2.9";"4.2";"1.3"
"75";"A99";"Iris_versicolor";1929-12-01;"Site1";"48935966";"-64840984";"5.1";"2.5";"3";"1.1"
"101";"A75";"Iris_versicolor";1929-12-01;"Site1";"48935966";"-64840984";"6.4";"2.9";"4.3";"1.3"
"102";"A96";"Iris_versicolor";1929-12-01;"Site1";"48935966";"-64840984";"5.7";"3";"4.2";"1.2"
"103";"A91";"Iris_versicolor";1929-12-01;"Site3";"48329837";"-65512333";"5.5";"2.6";"4.4";"1.2"
"107";"A66";"Iris_versicolor";1929-12-01;"Site1";"48935966";"-64840984";"6.7";"3.1";"4.4";"1.4"
"109";"A57";"Iris_versicolor";1929-12-01;"Site1";"48935966";"-64840984";"6.3";"3.3";"4.7";"1.6"
"111";"A55";"Iris_versicolor";1929-12-01;"Site3";"48329837";"-65512333";"6.5";"2.8";"4.6";"1.5"
"112";"A74";"Iris_versicolor";1930-02-13;"Site2";"48540502";"-64766512";"6.1";"2.8";"4.7";"1.2"
"121";"A64";"Iris_versicolor";1929-12-01;"Site3";"48329837";"-65512333";"6.1";"2.9";"4.7";"1.4"
"122";"A69";"Iris_versicolor";1929-12-01;"Site1";"48935966";"-64840984";"6.2";"2.2";"4.5";"1.5"
"124";"A86";"Iris_versicolor";1930-02-13;"Site2";"48540502";"-64766512";"6";"3.4";"4.5";"1.6"
"147";"A84";"Iris_versicolor";1929-12-01;"Site1";"48935966";"-64840984";"5.1";"1.6";"6";"2.7"
"148";"A53";"Iris_versicolor";1930-02-13;"Site2";"48540502";"-64766512";"4.9";"1.5";"6.9";"3.1"
"149";"A98";"Iris_versicolor";1930-02-13;"Site2";"48540502";"-64766512";"4.3";"1.3";"6.2";"2.9"
"150";"A94";"Iris_versicolor";1929-12-05;"Site3";"48329837";"-65512333";"3.3";"1";"5";"2.3"
"77";"A119";"Iris_virginica";1930-02-13;"ste2";"48540502";"-64766512";"7.7";"2.6";"6.9";"2.3"
"78";"A127";"Iris_virginica";1929-12-01;"Site3";"49329837";"-65512333";"6.2";"2.8";"4.8";"1.8"
"79";"A129";"Iris_virginica";1929-12-01;"Site1";"48935966";"-64840984";"6.4";"2.8";"5.6";"2.1"
"80";"A149";"Iris_virginica";1930-02-13;"Site2";"48540502";"-64766512";"6.2";"3.4";"5.4";"2.3"
"126";"A114";"Iris_virginica";1929-12-01;"Site1";"48935966";"-64840984";"5";"2";"5.7";"2.5"
"127";"A135";"Iris_virginica";1929-12-01;"Site1";"48935966";"-64840984";"5.6";"1.4";"6.1";"2.6"
"128";"A144";"Iris_virginica";1929-12-01;"Site1";"48935966";"-64840984";"5.9";"2.3";"6.8";"3.2"
"129";"A107";"Iris_virginica";1930-02-13;"Site2";"48540502";"-64766512";"4.5";"1.7";"4.9";"2.5"
"130";"A110";"Iris_virginica";1930-02-13;"Site2";"4854052";"-64766512";"6.1";"2.5";"7.2";"3.6"
"131";"A125";"Iris_virginica";1930-02-13;"Site2";"48540502";"-64766512";"5.7";"2.1";"6.7";"3.3"
"132";"A143";"Iris_virginica";1930-02-13;"Site2";"48540502";"-64766512";"5.1";"1.9";"5.8";"2.7"
"133";"A146";"Iris_virginica";1930-02-13;"Site2";"48540502";"-64766512";"5.2";"2.3";"6.7";"3"
"134";"A106";"Iris_virginica";1929-12-01;"Site3";"48329837";"-65512333";"6.6";"2.1";"7.6";"3"
"135";"A117";"Iris_virginica";1929-12-01;"Site1";"48935966";"-64840984";"5.5";"1.8";"6.5";"3"
"136";"A145";"Iris_virginica";1929-12-01;"Site3";"48329837";"-65512333";"5.7";"2.5";"6.7";"3.3"
"15";"A108";"Iris_virginica";1929-12-01;"Site1";"48935966";"-64840984";"6.3";"1.8";"7.3";"2.9"
"16";"A111";"Iris_virginica";1929-12-01;"Site1";"48935966";"-64840984";"5.1";"2";"6.5";"3.2"
"17";"A117";"Iris_virginica";1929-12-01;"Site1";"48935966";"-64840984";"5.5";"1.8";"6.5";"3"
"18";"A120";"Iris_virginica";1929-12-01;"Site1";"48935966";"-64840984";"5";"1.5";"6";"2.2"
"19";"A122";"Iris_virginica";1930-02-13;"Site2";"48540502";"-64766512";"4.9";"2";"5.6";"2.8"
"20";"A131";"Iris_virginica";1930-02-13;"Site2";"48540502";"-64766512";"6.1";"1.9";"7.4";"2.8"
"21";"A140";"Iris_virginica";1930-02-13;"Site2";"48540502";"-64766512";"5.4";"2.1";"6.9";"3.1"
"22";"A109";"Iris_virginica";1929-12-01;"Site3";"48329837";"-65512333";"5.8";"1.8";"6.7";"2.5"
"23";"A115";"Iris_virginica";1929-12-01;"Site3";"48329837";"-65512333";"5.1";"2.4";"5.8";"2.8"
"24";"A136";"Iris_virginica";1929-12-01;"Site3";"48329837";"-65512333";"6.1";"2.3";"7.7";"3"
"25";"A142";"Iris_virginica";1929-12-01;"Site3";"48329837";"-65512333";"5.1";"2.3";"6.9";"3.1"
"28";"A102";"Iris_virginica";1929-12-01;"Site1";"48935966";"-64840984";"5.8";"2.7";"5.1";"1.9"
"29";"A141";"Iris_virginica";1929-12-01;"Site1";"48935966";"-64840984";"6.7";"3.1";"5.6";"2.4"
"30";"A101";"Iris_virginica";1930-02-13;"Site2";"48540502";"-64766512";"6.3";"3.3";"6";"2.5"
"31";"A116";"Iris_virginica";1930-02-13;"Site2";"48540502";"-64766512";"6.4";"3.2";"5.3";"2.3"
"32";"A138";"Iris_virginica";1929-12-01;"Site1";"48935966";"-64840984";"6.4";"3.1";"5.5";"1.8"
"33";"A118";"Iris_virginica";1929-12-01;"Site3";"48329837";"-65512333";"7.7";"3.8";"6.7";"2.2"
"34";"A124";"Iris_virginica";1929-12-01;"Site3";"48329837";"-65512333";"6.3";"2.7";"4.9";"1.8"
"35";"A139";"Iris_virginica";1929-12-01;"Site3";"48329837";"-65512333";"6";"3";"4.8";"1.8"
"36";"A104";"Iris_virginica";1930-02-13;"Site2";"48540502";"-64766512";"6.3";"2.9";"5.6";"1.8"
"37";"A119";"Iris_virginica";1930-02-13;"Site2";"48540502";"-64766512";"7.7";"2.6";"6.9";"2.3"
"38";"A134";"Iris_virginica";1930-02-13;"Site2";"48540502";"-64766512";"6.3";"2.8";"5.1";"1.5"
"39";"A140";"Iris_virginica";1930-02-13;"Site2";"48540502";"-64766512";"6.9";"3.1";"5.4";"2.1"
"40";"A143";"Iris_virginica";1930-02-13;"Site2";"48540502";"-64766512";"5.8";"2.7";"5.1";"1.9"
"41";"A112";"Iris_virginica";1929-12-01;"Site3";"48329837";"-65512333";"6.4";"2.7";"5.3";"1.9"
"51";"A103";"Iris_virginica";1929-12-01;"Site3";"48329837";"-65512333";"7.1";"3";"5.9";"2.1"
"52";"A121";"Iris_virginica";1929-12-01;"Site3";"48329837";"-65512333";"6.9";"3.2";"5.7";"2.3"
"53";"A123";"Iris_virginica";1929-12-01;"Site1";"48935966";"-64840984";"7.7";"2.8";"6.7";"2"
"55";"A134";"Iris_virginica";1930-02-13;"Site2";"48540502";"-64766512";"6.3";"2.8";"5.1";"1.5"
"56";"A137";"Iris_virginica";1930-02-13;"Site2";"48540502";"-64766512";"6.3";"3.4";"5.6";"2.4"
"57";"A138";"Iris_virginica";1929-12-01;"Site1";"48935966";"-64840984";"6.4";"3.1";"5.5";"1.8"
"58";"A148";"Iris_virginica";1929-12-01;"Site3";"48329837";"-65512333";"6.5";"3";"5.2";"2"
"59";"A150";"Iris_virginica";1929-12-01;"Site1";"48935966";"-64840984";"5.9";"3";"5.1";"1.8"
"105";"A105";"Iris_virginica";1929-12-01;"Site1";"48935966";"-64840984";"6.5";"3";"5.8";"2.2"
"106";"A113";"Iris_virginica";1930-02-13;"Site2";"48540502";"-64766512";"6.8";"3";"5.5";"2.1"
"108";"A147";"Iris_virginica";1929-12-01;"Site1";"48935966";"-64840984";"6.3";"2.5";"5";"1.9"
"113";"A104";"Iris_virginica";1930-02-13;"Site2";"48540502";"-64766512";"6.3";"2.9";"5.6";"1.8"
"114";"A123";"Iris_virginica";1929-12-01;"Site2";"48935966";"-64840984";"7.7";"2.8";"6.7";"2"
"115";"A132";"Iris_virginica";1929-12-01;"Site1";"48935966";"-64840984";"7.9";"3.8";"6.4";"2"
"116";"A130";"Iris_virginica";1929-12-01;"Site3";"48329837";"-65512333";"7.2";"3";"5.8";"1.6"
"117";"A128";"Iris_virginica";1930-02-13;"Site2";"48540502";"-64766512";"6.1";"3";"4.9";"1.8"
"118";"A133";"Iris_virginica";1929-12-01;"Site3";"48329837";"-65512333";"6.4";"2.8";"5.6";"2.2"
"123";"A112";"Iris_virginica";1929-12-01;"Site3";"48329837";"-65512333";"6.4";"2.7";"5.3";"1.9"
